2022.09.1
cid:155529547, bit_rank:4, bit:935, score:0.9163, score_perc:0.9997, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:155529547, bit_rank:8, bit:1480, score:0.9163, score_perc:0.9997, label:1, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:155529547, bit_rank:12, bit:926, score:0.9163, score_perc:0.9997, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:155529547, bit_rank:18, bit:1722, score:0.9163, score_perc:0.9997, label:1, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:155529547, bit_rank:24, bit:1982, score:0.9163, score_perc:0.9997, label:1, frag1:[c](=[O])(:[c](:[n]):[n]):[n](:[c])-[CH] frag2:[c;R;D3](=[O;D1])(:[c;R;D3](:[n;R;D2]):[n;R;D3]):[n;R;D3](:[c;R;D3])-[CH;R;D3], radius:2
155529547 rank:25 bit:331 failed
cid:155529547, bit_rank:27, bit:1524, score:0.9163, score_perc:0.9997, label:1, frag1:[c](:[cH]:[cH])(:[cH]:[cH])-[NH]-[c] frag2:[c;R;D3](:[cH;R;D2]:[cH;R;D2])(:[cH;R;D2]:[cH;R;D2])-[NH;D2]-[c;R;D3], radius:2
cid:155529547, bit_rank:36, bit:191, score:0.9163, score_perc:0.9997, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:155529547, bit_rank:38, bit:1268, score:0.9163, score_perc:0.9997, label:1, frag1:[n](:[c])(:[c])-[CH] frag2:[n;R;D3](:[c;R;D3])(:[c;R;D3])-[CH;R;D3], radius:1
cid:118724061, bit_rank:0, bit:1917, score:0.8996, score_perc:0.9996, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:118724061, bit_rank:1, bit:378, score:0.8996, score_perc:0.9996, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:118724061, bit_rank:2, bit:807, score:0.8996, score_perc:0.9996, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:118724061, bit_rank:3, bit:1152, score:0.8996, score_perc:0.9996, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:118724061, bit_rank:5, bit:1816, score:0.8996, score_perc:0.9996, label:1, frag1:[NH](-[c])-[C] frag2:[NH;D2](-[c;R;D3])-[C;D3], radius:1
cid:118724061, bit_rank:27, bit:1524, score:0.8996, score_perc:0.9996, label:1, frag1:[c](:[cH]:[cH])(:[cH]:[cH])-[NH]-[c] frag2:[c;R;D3](:[cH;R;D2]:[cH;R;D2])(:[cH;R;D2]:[cH;R;D2])-[NH;D2]-[c;R;D3], radius:2
cid:118724061, bit_rank:33, bit:925, score:0.8996, score_perc:0.9996, label:1, frag1:[c](:[n]:[cH])(-[NH]-[c]):[c](:[cH])-[NH] frag2:[c;R;D3](:[n;R;D2]:[cH;R;D2])(-[NH;D2]-[c;R;D3]):[c;R;D3](:[cH;R;D2])-[NH;D2], radius:2
cid:118724061, bit_rank:36, bit:191, score:0.8996, score_perc:0.9996, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:122189082, bit_rank:1, bit:378, score:0.8890, score_perc:0.9996, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:122189082, bit_rank:4, bit:935, score:0.8890, score_perc:0.9996, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:122189082, bit_rank:16, bit:961, score:0.8890, score_perc:0.9996, label:1, frag1:[cH](:[cH]:[c]):[c](:[c]):[n] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[c;R;D3](:[c;R;D3]):[n;R;D2], radius:2
cid:122189082, bit_rank:20, bit:1199, score:0.8890, score_perc:0.9996, label:1, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:122189082, bit_rank:39, bit:1455, score:0.8890, score_perc:0.9996, label:1, frag1:[n](-[c])(:[cH]):[n] frag2:[n;R;D3](-[c;R;D3])(:[cH;R;D2]):[n;R;D2], radius:1
cid:137654578, bit_rank:0, bit:1917, score:0.8878, score_perc:0.9995, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:137654578, bit_rank:1, bit:378, score:0.8878, score_perc:0.9995, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:137654578, bit_rank:2, bit:807, score:0.8878, score_perc:0.9995, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:137654578, bit_rank:3, bit:1152, score:0.8878, score_perc:0.9995, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:137654578, bit_rank:4, bit:935, score:0.8878, score_perc:0.9995, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:137654578, bit_rank:6, bit:1970, score:0.8878, score_perc:0.9995, label:1, frag1:[c](:[cH])(:[c])-[O] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[O;D2], radius:1
cid:137654578, bit_rank:15, bit:1765, score:0.8878, score_perc:0.9995, label:1, frag1:[CH2](-[c])-[n] frag2:[CH2;D2](-[c;R;D3])-[n;R;D3], radius:1
cid:137654578, bit_rank:21, bit:559, score:0.8878, score_perc:0.9995, label:1, frag1:[c](:[n]:[c])(:[s]:[c]):[n](:[c]):[cH] frag2:[c;R;D3](:[n;R;D2]:[c;R;D3])(:[s;R;D2]:[c;R;D3]):[n;R;D3](:[c;R;D3]):[cH;R;D2], radius:2
cid:137654578, bit_rank:22, bit:80, score:0.8878, score_perc:0.9995, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:127038461, bit_rank:0, bit:1917, score:0.8862, score_perc:0.9995, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:127038461, bit_rank:1, bit:378, score:0.8862, score_perc:0.9995, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:127038461, bit_rank:2, bit:807, score:0.8862, score_perc:0.9995, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:127038461, bit_rank:3, bit:1152, score:0.8862, score_perc:0.9995, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:127038461, bit_rank:5, bit:1816, score:0.8862, score_perc:0.9995, label:1, frag1:[NH](-[c])-[C] frag2:[NH;D2](-[c;R;D3])-[C;D3], radius:1
cid:127038461, bit_rank:6, bit:1970, score:0.8862, score_perc:0.9995, label:1, frag1:[c](:[cH])(:[c])-[O] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[O;D2], radius:1
cid:127038461, bit_rank:22, bit:80, score:0.8862, score_perc:0.9995, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:127038461, bit_rank:36, bit:191, score:0.8862, score_perc:0.9995, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
127038461 rank:38 bit:1268 failed
cid:145972913, bit_rank:1, bit:378, score:0.8849, score_perc:0.9994, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:145972913, bit_rank:4, bit:935, score:0.8849, score_perc:0.9994, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:145972913, bit_rank:12, bit:926, score:0.8849, score_perc:0.9994, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:145972913, bit_rank:13, bit:1296, score:0.8849, score_perc:0.9994, label:1, frag1:[cH](:[c](:[cH])-[n]):[c](:[c]):[o] frag2:[cH;R;D2](:[c;R;D3](:[cH;R;D2])-[n;R;D3]):[c;R;D3](:[c;R;D3]):[o;R;D2], radius:2
cid:145972913, bit_rank:18, bit:1722, score:0.8849, score_perc:0.9994, label:1, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:145972913, bit_rank:22, bit:80, score:0.8849, score_perc:0.9994, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:145972913, bit_rank:39, bit:1455, score:0.8849, score_perc:0.9994, label:1, frag1:[n](-[c])(:[cH]):[n] frag2:[n;R;D3](-[c;R;D3])(:[cH;R;D2]):[n;R;D2], radius:1
cid:122189537, bit_rank:1, bit:378, score:0.8848, score_perc:0.9994, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:122189537, bit_rank:4, bit:935, score:0.8848, score_perc:0.9994, label:1, frag1:[N] frag2:[N;R;D3], radius:0
cid:122189537, bit_rank:12, bit:926, score:0.8848, score_perc:0.9994, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:122189537, bit_rank:15, bit:1765, score:0.8848, score_perc:0.9994, label:1, frag1:[CH2](-[c])-[N] frag2:[CH2;D2](-[c;R;D3])-[N;R;D3], radius:1
cid:122189537, bit_rank:22, bit:80, score:0.8848, score_perc:0.9994, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:122194586, bit_rank:0, bit:1917, score:0.8834, score_perc:0.9994, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:122194586, bit_rank:2, bit:807, score:0.8834, score_perc:0.9994, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:122194586, bit_rank:6, bit:1970, score:0.8834, score_perc:0.9994, label:1, frag1:[C](-[C])(-[c])(-[CH])-[CH] frag2:[C;R;D4](-[C;R;D3])(-[c;R;D3])(-[CH;R;D3])-[CH;R;D3], radius:1
cid:122194586, bit_rank:7, bit:651, score:0.8834, score_perc:0.9994, label:1, frag1:[C@H]1(-[C](-[c])=[O])-[C@H](-[C])-[C]-1(-[C])-[c] frag2:[C@H;R;D3]1(-[C;D3](-[c;R;D3])=[O;D1])-[C@H;R;D3](-[C;D3])-[C;R;D4]-1(-[C;R;D3])-[c;R;D3], radius:2
122194586 rank:13 bit:1296 failed
cid:122194586, bit_rank:18, bit:1722, score:0.8834, score_perc:0.9994, label:1, frag1:[CH2](-[CH3])-[O]-[C] frag2:[CH2;D2](-[CH3;D1])-[O;D2]-[C;D3], radius:2
cid:122194586, bit_rank:19, bit:1764, score:0.8834, score_perc:0.9994, label:1, frag1:[C@@H](-[C])(-[C])-[CH] frag2:[C@@H;R;D3](-[C;D3])(-[C;R;D4])-[CH;R;D3], radius:1
cid:122194586, bit_rank:22, bit:80, score:0.8834, score_perc:0.9994, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:122194586, bit_rank:24, bit:1982, score:0.8834, score_perc:0.9994, label:1, frag1:[c](:[cH])(:[c])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[NH;R;D2], radius:1
cid:122194586, bit_rank:29, bit:582, score:0.8834, score_perc:0.9994, label:1, frag1:[C](=[O])(-[O]-[CH2])-[C@H](-[C])-[CH] frag2:[C;D3](=[O;D1])(-[O;D2]-[CH2;D2])-[C@H;R;D3](-[C;R;D4])-[CH;R;D3], radius:2
cid:118144281, bit_rank:0, bit:1917, score:0.8822, score_perc:0.9993, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:118144281, bit_rank:1, bit:378, score:0.8822, score_perc:0.9993, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:118144281, bit_rank:2, bit:807, score:0.8822, score_perc:0.9993, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:118144281, bit_rank:3, bit:1152, score:0.8822, score_perc:0.9993, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:118144281, bit_rank:4, bit:935, score:0.8822, score_perc:0.9993, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:118144281, bit_rank:5, bit:1816, score:0.8822, score_perc:0.9993, label:1, frag1:[NH](-[c])-[C] frag2:[NH;D2](-[c;R;D3])-[C;D3], radius:1
cid:118144281, bit_rank:12, bit:926, score:0.8822, score_perc:0.9993, label:1, frag1:[n](:[cH]:[c]):[n](:[cH])-[CH3] frag2:[n;R;D2](:[cH;R;D2]:[c;R;D3]):[n;R;D3](:[cH;R;D2])-[CH3;D1], radius:2
cid:118144281, bit_rank:14, bit:604, score:0.8822, score_perc:0.9993, label:1, frag1:[n](:[cH]:[c]):[n](-[c]):[cH] frag2:[n;R;D2](:[cH;R;D2]:[c;R;D3]):[n;R;D3](-[c;R;D3]):[cH;R;D2], radius:2
cid:118144281, bit_rank:20, bit:1199, score:0.8822, score_perc:0.9993, label:1, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
118144281 rank:30 bit:910 failed
118144281 rank:33 bit:925 failed
cid:118144281, bit_rank:36, bit:191, score:0.8822, score_perc:0.9993, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:118144281, bit_rank:39, bit:1455, score:0.8822, score_perc:0.9993, label:1, frag1:[n](-[c])(:[cH]):[n] frag2:[n;R;D3](-[c;R;D3])(:[cH;R;D2]):[n;R;D2], radius:1
cid:63049, bit_rank:0, bit:1917, score:0.8778, score_perc:0.9993, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:63049, bit_rank:2, bit:807, score:0.8778, score_perc:0.9993, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:63049, bit_rank:12, bit:926, score:0.8778, score_perc:0.9993, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:63049, bit_rank:20, bit:1199, score:0.8778, score_perc:0.9993, label:1, frag1:[O](-[C](-[CH2])=[O])-[C@](-[C])(-[CH])-[C] frag2:[O;D2](-[C;D3](-[CH2;D2])=[O;D1])-[C@;R;D4](-[C;D3])(-[CH;R;D3])-[C;R;D4], radius:2
63049 rank:21 bit:559 failed
cid:63049, bit_rank:22, bit:80, score:0.8778, score_perc:0.9993, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
63049 rank:34 bit:2036 failed
cid:122194582, bit_rank:0, bit:1917, score:0.8586, score_perc:0.9992, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:122194582, bit_rank:2, bit:807, score:0.8586, score_perc:0.9992, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:122194582, bit_rank:6, bit:1970, score:0.8586, score_perc:0.9992, label:1, frag1:[C](-[C])(-[c])(-[CH])-[CH] frag2:[C;R;D4](-[C;R;D3])(-[c;R;D3])(-[CH;R;D3])-[CH;R;D3], radius:1
cid:122194582, bit_rank:7, bit:651, score:0.8586, score_perc:0.9992, label:1, frag1:[C@H]1(-[C](-[c])=[O])-[C@H](-[C])-[C]-1(-[C])-[c] frag2:[C@H;R;D3]1(-[C;D3](-[c;R;D3])=[O;D1])-[C@H;R;D3](-[C;D3])-[C;R;D4]-1(-[C;R;D3])-[c;R;D3], radius:2
122194582 rank:13 bit:1296 failed
cid:122194582, bit_rank:18, bit:1722, score:0.8586, score_perc:0.9992, label:1, frag1:[CH2](-[CH3])-[O]-[C] frag2:[CH2;D2](-[CH3;D1])-[O;D2]-[C;D3], radius:2
cid:122194582, bit_rank:19, bit:1764, score:0.8586, score_perc:0.9992, label:1, frag1:[C@@H](-[C])(-[C])-[CH] frag2:[C@@H;R;D3](-[C;D3])(-[C;R;D4])-[CH;R;D3], radius:1
cid:122194582, bit_rank:20, bit:1199, score:0.8586, score_perc:0.9992, label:1, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:122194582, bit_rank:22, bit:80, score:0.8586, score_perc:0.9992, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:122194582, bit_rank:24, bit:1982, score:0.8586, score_perc:0.9992, label:1, frag1:[c](:[cH])(:[c])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[NH;R;D2], radius:1
