ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
400_0.4_6_0.50,0.824,0.009,,,,,,,
800_0.4_6_0.33,0.824,0.008,,,,,,,
400_0.8_6_0.20,0.824,0.01,,,,,,,
800_0.6_6_0.33,0.824,0.01,,,,,,,
400_0.4_6_0.33,0.824,0.008,,,,,,,
400_1.0_6_0.20,0.824,0.011,,,,,,,
200_0.8_6_0.50,0.823,0.008,,,,,,,
200_0.6_6_0.50,0.823,0.009,,,,,,,
400_0.6_6_0.20,0.823,0.011,,,,,,,
800_0.4_6_0.20,0.822,0.009,,,,,,,
400_1.0_6_0.50,0.822,0.009,,,,,,,
200_0.4_6_0.33,0.822,0.009,,,,,,,
200_0.8_6_0.33,0.822,0.015,,,,,,,
800_0.6_6_0.20,0.822,0.009,,,,,,,
400_1.0_6_0.33,0.822,0.013,,,,,,,
400_0.2_6_0.50,0.822,0.011,,,,,,,
400_0.4_6_0.20,0.822,0.008,,,,,,,
200_0.4_6_0.20,0.821,0.009,,,,,,,
200_0.6_6_0.33,0.821,0.008,,,,,,,
400_0.6_6_0.33,0.821,0.007,,,,,,,
400_0.2_6_0.33,0.82,0.01,,,,,,,
400_0.6_6_0.50,0.82,0.006,,,,,,,
200_0.6_6_0.20,0.82,0.009,,,,,,,
400_0.8_6_0.33,0.82,0.006,,,,,,,
200_0.8_6_0.20,0.819,0.009,,,,,,,
200_0.2_6_0.50,0.819,0.006,,,,,,,
800_0.2_6_0.50,0.819,0.01,,,,,,,
800_0.2_6_0.33,0.819,0.008,,,,,,,
200_1.0_6_0.20,0.819,0.01,,,,,,,
200_1.0_6_0.50,0.818,0.007,,,,,,,
200_0.2_6_0.20,0.818,0.012,,,,,,,
200_0.2_6_0.33,0.817,0.007,,,,,,,
200_1.0_6_0.33,0.817,0.008,,,,,,,
400_0.2_6_0.20,0.817,0.006,,,,,,,
800_0.2_6_0.20,0.815,0.009,,,,,,,
600_0.2_6_0.45,0.785,0.012,,,,,,,
600_0.2_6_0.25,0.783,0.012,,,,,,,
200_0.2_6_0.25,0.783,0.008,,,,,,,
400_1.0_none_0.33,0.782,0.016,,,,,,,
200_0.2_6_0.45,0.782,0.013,,,,,,,
400_1.0_none_0.20,0.782,0.017,,,,,,,
200_1.0_none_0.20,0.78,0.016,,,,,,,
200_1.0_none_0.33,0.778,0.014,,,,,,,
200_1.0_none_0.50,0.778,0.015,,,,,,,
400_1.0_none_0.50,0.778,0.016,,,,,,,
200_0.8_none_0.33,0.772,0.016,,,,,,,
400_0.8_none_0.20,0.771,0.015,,,,,,,
200_0.8_none_0.20,0.771,0.015,,,,,,,
400_0.8_none_0.33,0.77,0.015,,,,,,,
400_0.8_none_0.50,0.77,0.018,,,,,,,
200_0.8_none_0.50,0.769,0.016,,,,,,,
800_0.6_3_0.20,0.766,0.008,,,,,,,
800_0.2_3_0.20,0.765,0.009,,,,,,,
400_0.2_3_0.33,0.765,0.009,,,,,,,
400_1.0_3_0.20,0.765,0.009,,,,,,,
200_0.2_2_0.25,0.763,0.018,,,,,,,
800_0.4_3_0.20,0.763,0.01,,,,,,,
400_0.4_3_0.20,0.763,0.006,,,,,,,
200_0.5_2_0.25,0.763,0.019,,,,,,,
200_0.4_3_0.20,0.763,0.01,,,,,,,
400_0.6_3_0.20,0.762,0.008,,,,,,,
200_0.2_3_0.20,0.762,0.011,,,,,,,
600_0.5_2_0.25,0.762,0.019,,,,,,,
800_0.2_3_0.33,0.762,0.01,,,,,,,
800_0.6_none_0.20,0.762,0.014,,,,,,,
400_0.6_none_0.20,0.761,0.014,,,,,,,
400_0.8_3_0.20,0.761,0.01,,,,,,,
400_0.2_3_0.20,0.761,0.01,,,,,,,
200_0.8_3_0.20,0.761,0.006,,,,,,,
800_0.6_3_0.33,0.76,0.008,,,,,,,
600_1.0_2_0.25,0.76,0.018,,,,,,,
600_0.2_2_0.25,0.76,0.017,,,,,,,
200_0.6_none_0.20,0.76,0.013,,,,,,,
400_0.6_none_0.33,0.759,0.015,,,,,,,
200_1.0_3_0.20,0.759,0.006,,,,,,,
200_0.6_3_0.20,0.758,0.01,,,,,,,
600_0.2_2_0.45,0.758,0.017,,,,,,,
200_0.6_none_0.33,0.758,0.015,,,,,,,
400_0.6_3_0.33,0.758,0.011,,,,,,,
200_0.2_3_0.33,0.758,0.012,,,,,,,
