ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
600_0.1_6_0.25,0.806,0.01,0.481,0.014,0.937,0.008,0.065,0.001,0.7090000000000001
600_0.1_8_0.01,0.811,0.01,0.479,0.014,0.932,0.009,0.069,0.002,0.7055
600_0.1_6_0.15,0.809,0.008,0.46,0.017,0.936,0.009,0.066,0.001,0.6980000000000001
600_1.0_6_0.05,0.816,0.01,0.457,0.015,0.935,0.009,0.071,0.002,0.6960000000000001
600_0.2_6_0.05,0.817,0.009,0.451,0.014,0.936,0.009,0.07,0.002,0.6935
600_0.5_6_0.05,0.817,0.007,0.444,0.016,0.935,0.01,0.071,0.001,0.6895
600_0.5_6_0.01,0.801,0.012,0.451,0.012,0.928,0.011,0.065,0.002,0.6895
600_0.1_6_0.10,0.806,0.009,0.442,0.013,0.932,0.009,0.066,0.001,0.687
600_1.0_6_0.01,0.807,0.008,0.44,0.014,0.928,0.008,0.066,0.001,0.684
600_0.2_6_0.01,0.805,0.012,0.439,0.013,0.926,0.01,0.066,0.002,0.6825
600_1.0_6_0.02,0.812,0.009,0.432,0.016,0.932,0.009,0.069,0.001,0.682
600_0.1_6_0.05,0.806,0.008,0.424,0.016,0.931,0.008,0.067,0.001,0.6775
600_0.5_6_0.02,0.814,0.01,0.422,0.013,0.932,0.009,0.07,0.002,0.677
600_0.2_6_0.02,0.812,0.01,0.418,0.013,0.93,0.009,0.069,0.002,0.674
600_0.1_6_0.01,0.797,0.007,0.409,0.019,0.92,0.01,0.064,0.001,0.6645
600_0.1_6_0.02,0.804,0.008,0.401,0.002,0.926,0.008,0.067,0.002,0.6635
600_0.1_4_0.50,0.793,0.007,0.351,0.009,0.914,0.008,0.062,0.001,0.6325000000000001
600_0.1_4_0.25,0.791,0.008,0.335,0.013,0.912,0.008,0.062,0.001,0.6235
600_0.2_4_0.25,0.799,0.009,0.337,0.019,0.909,0.01,0.066,0.001,0.623
600_0.2_4_0.50,0.802,0.007,0.334,0.014,0.909,0.011,0.067,0.001,0.6215
600_0.2_4_0.15,0.796,0.007,0.329,0.014,0.907,0.009,0.065,0.001,0.618
600_0.5_4_0.25,0.8,0.009,0.327,0.011,0.907,0.01,0.067,0.001,0.617
600_0.1_4_0.15,0.79,0.005,0.324,0.023,0.908,0.007,0.061,0.001,0.616
600_0.2_4_0.01,0.79,0.011,0.326,0.016,0.904,0.009,0.062,0.002,0.615
600_0.5_4_0.01,0.789,0.01,0.322,0.016,0.906,0.008,0.061,0.002,0.614
600_1.0_4_0.25,0.794,0.006,0.325,0.013,0.902,0.01,0.066,0.001,0.6135
600_0.5_4_0.15,0.799,0.007,0.321,0.013,0.906,0.009,0.066,0.001,0.6135
600_0.5_4_0.50,0.802,0.009,0.32,0.017,0.906,0.012,0.069,0.001,0.613
600_1.0_4_0.01,0.788,0.009,0.317,0.012,0.905,0.009,0.061,0.001,0.611
