c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
5.000_sigmoid_auto_0.0_both,0.801,0.027,0.202,0.031,0.886,0.01,0.133,0.01,sigmoid,both,5.0,auto,,0.0,0.544
0.500_sigmoid_auto_0.3_both,0.82,0.021,0.194,0.042,0.893,0.011,0.104,0.006,sigmoid,both,0.5,auto,,0.3,0.5435
2.000_sigmoid_scale_0.0_both,0.804,0.02,0.201,0.034,0.886,0.018,0.132,0.007,sigmoid,both,2.0,scale,,0.0,0.5435
2.000_sigmoid_scale_0.0_both,0.808,0.015,0.195,0.024,0.884,0.011,0.132,0.004,sigmoid,both,2.0,scale,,0.0,0.5395
2.000_sigmoid_auto_0.0_both,0.809,0.021,0.189,0.022,0.886,0.014,0.133,0.005,sigmoid,both,2.0,auto,,0.0,0.5375
0.001_sigmoid_scale_0.0_both,0.667,0.049,0.21,0.035,0.864,0.012,0.247,0.051,sigmoid,both,0.001,scale,,0.0,0.537
0.100_sigmoid_scale_3.0_both,0.698,0.033,0.23,0.038,0.84,0.028,0.044,0.006,sigmoid,both,0.1,scale,,3.0,0.535
0.100_sigmoid_auto_3.0_both,0.697,0.032,0.23,0.038,0.84,0.028,0.043,0.006,sigmoid,both,0.1,auto,,3.0,0.535
10.000_sigmoid_auto_0.0_both,0.807,0.019,0.182,0.032,0.886,0.012,0.133,0.005,sigmoid,both,10.0,auto,,0.0,0.534
30.000_sigmoid_auto_0.0_both,0.788,0.026,0.187,0.028,0.88,0.021,0.127,0.011,sigmoid,both,30.0,auto,,0.0,0.5335
5.000_sigmoid_scale_3.0_both,0.821,0.006,0.175,0.026,0.885,0.01,0.111,0.002,sigmoid,both,5.0,scale,,3.0,0.53
5.000_sigmoid_auto_0.0_both,0.8,0.019,0.185,0.036,0.875,0.011,0.133,0.007,sigmoid,both,5.0,auto,,0.0,0.53
5.000_sigmoid_auto_3.0_both,0.821,0.006,0.175,0.026,0.885,0.01,0.111,0.002,sigmoid,both,5.0,auto,,3.0,0.53
0.001_sigmoid_scale_0.3_both,0.685,0.103,0.197,0.034,0.859,0.012,0.126,0.056,sigmoid,both,0.001,scale,,0.3,0.528
1.000_sigmoid_auto_0.3_both,0.807,0.025,0.176,0.024,0.88,0.009,0.098,0.007,sigmoid,both,1.0,auto,,0.3,0.528
10.000_sigmoid_scale_0.0_both,0.798,0.027,0.175,0.035,0.88,0.019,0.131,0.008,sigmoid,both,10.0,scale,,0.0,0.5275
30.000_sigmoid_scale_0.0_both,0.791,0.025,0.172,0.039,0.881,0.02,0.126,0.007,sigmoid,both,30.0,scale,,0.0,0.5265
5.000_sigmoid_scale_0.0_both,0.801,0.019,0.175,0.034,0.878,0.01,0.133,0.007,sigmoid,both,5.0,scale,,0.0,0.5265
1.000_sigmoid_scale_0.3_both,0.803,0.018,0.17,0.021,0.881,0.011,0.097,0.005,sigmoid,both,1.0,scale,,0.3,0.5255
5.000_sigmoid_auto_0.3_both,0.794,0.03,0.157,0.039,0.875,0.019,0.095,0.006,sigmoid,both,5.0,auto,,0.3,0.516
5.000_sigmoid_scale_0.3_both,0.788,0.029,0.16,0.041,0.869,0.018,0.093,0.005,sigmoid,both,5.0,scale,,0.3,0.5145
2.000_sigmoid_scale_0.3_both,0.798,0.024,0.152,0.039,0.873,0.018,0.096,0.004,sigmoid,both,2.0,scale,,0.3,0.5125
2.000_sigmoid_auto_0.3_both,0.793,0.029,0.152,0.037,0.871,0.016,0.095,0.004,sigmoid,both,2.0,auto,,0.3,0.5115
0.500_sigmoid_auto_1.0_both,0.799,0.008,0.143,0.017,0.875,0.011,0.086,0.002,sigmoid,both,0.5,auto,,1.0,0.509
0.500_sigmoid_scale_1.0_both,0.791,0.008,0.141,0.016,0.872,0.01,0.084,0.002,sigmoid,both,0.5,scale,,1.0,0.5065
10.000_sigmoid_scale_3.0_both,0.789,0.014,0.136,0.017,0.868,0.011,0.09,0.006,sigmoid,both,10.0,scale,,3.0,0.502
10.000_sigmoid_scale_0.3_both,0.785,0.017,0.136,0.01,0.866,0.014,0.092,0.005,sigmoid,both,10.0,scale,,0.3,0.501
10.000_sigmoid_auto_3.0_both,0.785,0.013,0.136,0.018,0.864,0.014,0.088,0.004,sigmoid,both,10.0,auto,,3.0,0.5
10.000_sigmoid_auto_0.3_both,0.782,0.019,0.133,0.019,0.862,0.015,0.091,0.006,sigmoid,both,10.0,auto,,0.3,0.4975
2.000_sigmoid_scale_0.3_both,0.786,0.005,0.137,0.012,0.858,0.007,0.097,0.003,sigmoid,both,2.0,scale,,0.3,0.4975
2.000_sigmoid_auto_0.3_both,0.783,0.005,0.13,0.011,0.857,0.008,0.096,0.003,sigmoid,both,2.0,auto,,0.3,0.4935
30.000_sigmoid_scale_0.3_both,0.78,0.024,0.123,0.018,0.859,0.021,0.091,0.008,sigmoid,both,30.0,scale,,0.3,0.491
1.000_sigmoid_scale_1.0_both,0.786,0.007,0.122,0.019,0.859,0.01,0.078,0.001,sigmoid,both,1.0,scale,,1.0,0.4905
1.000_sigmoid_auto_1.0_both,0.788,0.011,0.121,0.015,0.86,0.01,0.079,0.002,sigmoid,both,1.0,auto,,1.0,0.4905
30.000_sigmoid_auto_0.3_both,0.781,0.024,0.119,0.013,0.857,0.022,0.091,0.005,sigmoid,both,30.0,auto,,0.3,0.488
