c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.100_poly_auto_0.0_3_desc,0.814,0.027,0.492,0.031,0.906,0.009,0.51,0.017,poly,desc,0.1,auto,3.0,0.0,0.6990000000000001
5.000_poly_scale_1.0_2_desc,0.782,0.026,0.51,0.049,0.886,0.011,0.535,0.043,poly,desc,5.0,scale,2.0,1.0,0.698
10.000_poly_scale_0.3_2_desc,0.781,0.024,0.516,0.038,0.88,0.012,0.558,0.04,poly,desc,10.0,scale,2.0,0.3,0.698
10.000_poly_scale_1.0_3_desc,0.763,0.021,0.518,0.032,0.878,0.01,0.578,0.036,poly,desc,10.0,scale,3.0,1.0,0.698
0.001_poly_0.1_3.0_4_desc,0.776,0.017,0.521,0.024,0.874,0.02,0.627,0.028,poly,desc,0.001,0.1,4.0,3.0,0.6975
0.010_poly_scale_3.0_3_desc,0.871,0.03,0.473,0.042,0.922,0.012,0.354,0.014,poly,desc,0.01,scale,3.0,3.0,0.6975
0.010_poly_0.5_3.0_2_desc,0.781,0.018,0.504,0.045,0.89,0.012,0.581,0.03,poly,desc,0.01,0.5,2.0,3.0,0.6970000000000001
1.000_poly_auto_0.0_4_desc,0.77,0.024,0.528,0.028,0.866,0.023,0.606,0.039,poly,desc,1.0,auto,4.0,0.0,0.6970000000000001
1.000_poly_scale_0.0_4_desc,0.77,0.021,0.529,0.027,0.864,0.023,0.606,0.033,poly,desc,1.0,scale,4.0,0.0,0.6965
5.000_poly_scale_1.0_4_desc,0.763,0.015,0.516,0.033,0.877,0.013,0.597,0.024,poly,desc,5.0,scale,4.0,1.0,0.6965
0.001_poly_0.1_1.0_2_desc,0.85,0.022,0.473,0.046,0.919,0.014,0.436,0.02,poly,desc,0.001,0.1,2.0,1.0,0.696
0.010_poly_auto_3.0_3_desc,0.873,0.029,0.47,0.04,0.922,0.012,0.349,0.015,poly,desc,0.01,auto,3.0,3.0,0.696
5.000_poly_scale_3.0_2_desc,0.784,0.029,0.507,0.05,0.885,0.011,0.536,0.039,poly,desc,5.0,scale,2.0,3.0,0.696
0.010_poly_0.5_1.0_2_desc,0.78,0.016,0.502,0.047,0.889,0.013,0.58,0.025,poly,desc,0.01,0.5,2.0,1.0,0.6955
0.100_poly_0.1_0.0_2_desc,0.785,0.021,0.504,0.046,0.887,0.017,0.584,0.036,poly,desc,0.1,0.1,2.0,0.0,0.6955
0.100_poly_0.5_10.0_2_desc,0.779,0.02,0.5,0.046,0.891,0.011,0.569,0.034,poly,desc,0.1,0.5,2.0,10.0,0.6955
10.000_poly_scale_1.0_4_desc,0.76,0.016,0.514,0.032,0.877,0.013,0.591,0.025,poly,desc,10.0,scale,4.0,1.0,0.6955
0.010_poly_0.1_3.0_4_desc,0.775,0.017,0.517,0.027,0.873,0.02,0.624,0.028,poly,desc,0.01,0.1,4.0,3.0,0.6950000000000001
0.100_poly_0.1_3.0_4_desc,0.775,0.017,0.517,0.027,0.873,0.02,0.624,0.028,poly,desc,0.1,0.1,4.0,3.0,0.6950000000000001
1.000_poly_scale_3.0_4_desc,0.761,0.021,0.509,0.032,0.881,0.009,0.57,0.033,poly,desc,1.0,scale,4.0,3.0,0.6950000000000001
10.000_poly_scale_1.0_2_desc,0.777,0.025,0.508,0.04,0.882,0.012,0.547,0.04,poly,desc,10.0,scale,2.0,1.0,0.6950000000000001
1.000_poly_scale_0.3_4_desc,0.765,0.022,0.53,0.049,0.859,0.02,0.601,0.038,poly,desc,1.0,scale,4.0,0.3,0.6945
0.100_poly_0.5_3.0_2_desc,0.779,0.017,0.498,0.047,0.89,0.011,0.573,0.034,poly,desc,0.1,0.5,2.0,3.0,0.694
0.010_poly_0.5_0.3_2_desc,0.778,0.017,0.499,0.045,0.888,0.014,0.573,0.026,poly,desc,0.01,0.5,2.0,0.3,0.6935
5.000_poly_scale_3.0_4_desc,0.763,0.021,0.505,0.03,0.882,0.008,0.573,0.026,poly,desc,5.0,scale,4.0,3.0,0.6935
0.100_poly_0.5_1.0_2_desc,0.779,0.018,0.496,0.048,0.89,0.011,0.57,0.032,poly,desc,0.1,0.5,2.0,1.0,0.6930000000000001
10.000_poly_scale_3.0_4_desc,0.764,0.022,0.503,0.03,0.883,0.008,0.569,0.025,poly,desc,10.0,scale,4.0,3.0,0.6930000000000001
5.000_poly_scale_10.0_2_desc,0.78,0.026,0.5,0.044,0.884,0.011,0.529,0.033,poly,desc,5.0,scale,2.0,10.0,0.692
10.000_poly_scale_3.0_2_desc,0.781,0.027,0.501,0.043,0.882,0.013,0.549,0.034,poly,desc,10.0,scale,2.0,3.0,0.6915
0.001_poly_0.1_0.3_2_desc,0.85,0.021,0.465,0.044,0.917,0.014,0.438,0.019,poly,desc,0.001,0.1,2.0,0.3,0.6910000000000001
5.000_poly_scale_0.0_2_desc,0.782,0.026,0.516,0.049,0.866,0.013,0.538,0.033,poly,desc,5.0,scale,2.0,0.0,0.6910000000000001
5.000_poly_scale_0.3_4_desc,0.762,0.023,0.522,0.051,0.86,0.02,0.605,0.042,poly,desc,5.0,scale,4.0,0.3,0.6910000000000001
10.000_poly_scale_0.0_2_desc,0.778,0.027,0.518,0.04,0.864,0.014,0.556,0.043,poly,desc,10.0,scale,2.0,0.0,0.6910000000000001
0.001_poly_0.5_10.0_4_desc,0.773,0.018,0.515,0.03,0.866,0.02,0.622,0.029,poly,desc,0.001,0.5,4.0,10.0,0.6905
0.010_poly_0.5_0.0_2_desc,0.778,0.018,0.495,0.044,0.886,0.013,0.573,0.03,poly,desc,0.01,0.5,2.0,0.0,0.6905
0.010_poly_0.5_10.0_4_desc,0.773,0.018,0.515,0.03,0.866,0.02,0.622,0.029,poly,desc,0.01,0.5,4.0,10.0,0.6905
0.100_poly_0.5_0.3_2_desc,0.776,0.019,0.493,0.048,0.888,0.011,0.567,0.03,poly,desc,0.1,0.5,2.0,0.3,0.6905
0.100_poly_0.5_10.0_4_desc,0.773,0.018,0.515,0.03,0.866,0.02,0.622,0.029,poly,desc,0.1,0.5,4.0,10.0,0.6905
5.000_poly_scale_3.0_3_desc,0.76,0.022,0.499,0.03,0.882,0.009,0.557,0.028,poly,desc,5.0,scale,3.0,3.0,0.6905
0.001_poly_0.1_1.0_4_desc,0.772,0.02,0.519,0.028,0.861,0.017,0.619,0.036,poly,desc,0.001,0.1,4.0,1.0,0.69
0.010_poly_scale_1.0_3_desc,0.874,0.026,0.455,0.046,0.924,0.009,0.333,0.012,poly,desc,0.01,scale,3.0,1.0,0.6895
10.000_poly_scale_0.3_4_desc,0.764,0.018,0.52,0.052,0.859,0.021,0.606,0.035,poly,desc,10.0,scale,4.0,0.3,0.6895
0.100_poly_0.5_0.0_2_desc,0.776,0.02,0.49,0.049,0.886,0.011,0.566,0.033,poly,desc,0.1,0.5,2.0,0.0,0.688
10.000_poly_scale_3.0_3_desc,0.762,0.021,0.493,0.03,0.882,0.008,0.561,0.032,poly,desc,10.0,scale,3.0,3.0,0.6875
0.010_poly_auto_1.0_3_desc,0.873,0.026,0.451,0.047,0.923,0.009,0.325,0.012,poly,desc,0.01,auto,3.0,1.0,0.687
1.000_poly_scale_0.0_2_desc,0.831,0.011,0.472,0.04,0.902,0.015,0.484,0.016,poly,desc,1.0,scale,2.0,0.0,0.687
1.000_poly_auto_0.0_2_desc,0.835,0.014,0.471,0.04,0.903,0.015,0.483,0.016,poly,desc,1.0,auto,2.0,0.0,0.687
1.000_poly_scale_10.0_3_desc,0.768,0.02,0.493,0.029,0.881,0.01,0.56,0.023,poly,desc,1.0,scale,3.0,10.0,0.687
1.000_poly_scale_0.0_3_desc,0.777,0.026,0.522,0.051,0.851,0.023,0.589,0.039,poly,desc,1.0,scale,3.0,0.0,0.6865
10.000_poly_scale_0.0_3_desc,0.759,0.014,0.521,0.058,0.852,0.022,0.593,0.03,poly,desc,10.0,scale,3.0,0.0,0.6865
0.100_poly_scale_0.3_2_desc,0.875,0.027,0.444,0.041,0.928,0.012,0.348,0.011,poly,desc,0.1,scale,2.0,0.3,0.686
0.010_poly_0.1_1.0_4_desc,0.771,0.02,0.514,0.031,0.858,0.018,0.617,0.036,poly,desc,0.01,0.1,4.0,1.0,0.6859999999999999
0.100_poly_0.1_1.0_4_desc,0.771,0.02,0.514,0.031,0.858,0.018,0.617,0.036,poly,desc,0.1,0.1,4.0,1.0,0.6859999999999999
10.000_poly_scale_10.0_2_desc,0.782,0.024,0.491,0.038,0.881,0.013,0.547,0.028,poly,desc,10.0,scale,2.0,10.0,0.6859999999999999
0.001_poly_0.1_0.3_4_desc,0.768,0.022,0.518,0.026,0.853,0.019,0.61,0.036,poly,desc,0.001,0.1,4.0,0.3,0.6855
0.100_poly_scale_1.0_2_desc,0.875,0.027,0.446,0.04,0.925,0.012,0.334,0.009,poly,desc,0.1,scale,2.0,1.0,0.6855
5.000_poly_scale_0.0_3_desc,0.761,0.019,0.52,0.064,0.851,0.02,0.596,0.04,poly,desc,5.0,scale,3.0,0.0,0.6855
0.100_poly_auto_0.3_2_desc,0.876,0.027,0.442,0.041,0.928,0.011,0.345,0.009,poly,desc,0.1,auto,2.0,0.3,0.685
0.100_poly_auto_1.0_2_desc,0.876,0.028,0.444,0.042,0.926,0.012,0.328,0.01,poly,desc,0.1,auto,2.0,1.0,0.685
0.001_poly_0.5_3.0_4_desc,0.768,0.021,0.513,0.033,0.854,0.018,0.61,0.035,poly,desc,0.001,0.5,4.0,3.0,0.6835
0.010_poly_0.5_3.0_4_desc,0.768,0.021,0.513,0.033,0.854,0.018,0.61,0.035,poly,desc,0.01,0.5,4.0,3.0,0.6835
0.100_poly_0.5_3.0_4_desc,0.768,0.021,0.513,0.033,0.854,0.018,0.61,0.035,poly,desc,0.1,0.5,4.0,3.0,0.6835
0.100_poly_scale_0.0_4_desc,0.766,0.03,0.48,0.017,0.884,0.024,0.544,0.042,poly,desc,0.1,scale,4.0,0.0,0.6819999999999999
1.000_poly_scale_10.0_4_desc,0.76,0.015,0.481,0.032,0.883,0.008,0.544,0.018,poly,desc,1.0,scale,4.0,10.0,0.6819999999999999
0.001_poly_0.1_0.0_2_desc,0.845,0.022,0.452,0.045,0.911,0.015,0.433,0.02,poly,desc,0.001,0.1,2.0,0.0,0.6815
0.001_poly_0.1_0.0_4_desc,0.765,0.02,0.513,0.027,0.85,0.019,0.607,0.032,poly,desc,0.001,0.1,4.0,0.0,0.6815
0.010_poly_0.1_0.3_4_desc,0.768,0.022,0.513,0.034,0.85,0.02,0.609,0.037,poly,desc,0.01,0.1,4.0,0.3,0.6815
0.100_poly_0.1_0.3_4_desc,0.768,0.022,0.513,0.034,0.85,0.02,0.609,0.037,poly,desc,0.1,0.1,4.0,0.3,0.6815
5.000_poly_scale_10.0_4_desc,0.76,0.013,0.48,0.031,0.883,0.008,0.546,0.019,poly,desc,5.0,scale,4.0,10.0,0.6815
10.000_poly_scale_10.0_4_desc,0.76,0.013,0.48,0.031,0.883,0.008,0.546,0.019,poly,desc,10.0,scale,4.0,10.0,0.6815
0.100_poly_scale_3.0_2_desc,0.876,0.029,0.438,0.044,0.923,0.013,0.323,0.011,poly,desc,0.1,scale,2.0,3.0,0.6805
0.001_poly_0.5_1.0_4_desc,0.767,0.021,0.511,0.033,0.849,0.02,0.606,0.035,poly,desc,0.001,0.5,4.0,1.0,0.6799999999999999
0.010_poly_0.5_1.0_4_desc,0.767,0.021,0.511,0.033,0.849,0.02,0.606,0.035,poly,desc,0.01,0.5,4.0,1.0,0.6799999999999999
0.100_poly_0.5_1.0_4_desc,0.767,0.021,0.511,0.033,0.849,0.02,0.606,0.035,poly,desc,0.1,0.5,4.0,1.0,0.6799999999999999
0.100_poly_auto_3.0_2_desc,0.875,0.029,0.436,0.046,0.923,0.012,0.318,0.01,poly,desc,0.1,auto,2.0,3.0,0.6795
5.000_poly_scale_10.0_3_desc,0.76,0.015,0.478,0.03,0.881,0.008,0.539,0.019,poly,desc,5.0,scale,3.0,10.0,0.6795
0.100_poly_auto_0.0_4_desc,0.766,0.032,0.471,0.017,0.886,0.023,0.541,0.046,poly,desc,0.1,auto,4.0,0.0,0.6785
0.001_poly_0.5_0.3_4_desc,0.765,0.02,0.509,0.033,0.847,0.02,0.605,0.033,poly,desc,0.001,0.5,4.0,0.3,0.6779999999999999
0.010_poly_0.5_0.3_4_desc,0.765,0.02,0.509,0.033,0.847,0.02,0.605,0.033,poly,desc,0.01,0.5,4.0,0.3,0.6779999999999999
0.100_poly_0.5_0.3_4_desc,0.765,0.02,0.509,0.033,0.847,0.02,0.605,0.033,poly,desc,0.1,0.5,4.0,0.3,0.6779999999999999
10.000_poly_scale_10.0_3_desc,0.76,0.018,0.475,0.031,0.881,0.008,0.534,0.025,poly,desc,10.0,scale,3.0,10.0,0.6779999999999999
0.001_poly_0.5_0.0_4_desc,0.765,0.023,0.508,0.032,0.846,0.021,0.606,0.034,poly,desc,0.001,0.5,4.0,0.0,0.677
0.010_poly_0.1_0.0_4_desc,0.765,0.023,0.508,0.033,0.846,0.021,0.606,0.034,poly,desc,0.01,0.1,4.0,0.0,0.677
0.010_poly_0.5_0.0_4_desc,0.765,0.023,0.508,0.033,0.846,0.021,0.606,0.034,poly,desc,0.01,0.5,4.0,0.0,0.677
0.100_poly_0.1_0.0_4_desc,0.765,0.023,0.508,0.033,0.846,0.021,0.606,0.034,poly,desc,0.1,0.1,4.0,0.0,0.677
0.100_poly_0.5_0.0_4_desc,0.765,0.023,0.508,0.033,0.846,0.021,0.606,0.034,poly,desc,0.1,0.5,4.0,0.0,0.677
0.100_poly_scale_10.0_2_desc,0.875,0.028,0.431,0.048,0.92,0.013,0.314,0.011,poly,desc,0.1,scale,2.0,10.0,0.6755
0.010_poly_scale_0.3_4_desc,0.806,0.02,0.437,0.04,0.913,0.011,0.456,0.035,poly,desc,0.01,scale,4.0,0.3,0.675
0.100_poly_auto_10.0_2_desc,0.876,0.026,0.428,0.048,0.92,0.013,0.31,0.008,poly,desc,0.1,auto,2.0,10.0,0.674
0.001_poly_0.5_-1.0_4_desc,0.761,0.02,0.503,0.028,0.842,0.017,0.598,0.029,poly,desc,0.001,0.5,4.0,-1.0,0.6725
0.010_poly_0.5_-1.0_4_desc,0.761,0.02,0.503,0.028,0.842,0.017,0.598,0.029,poly,desc,0.01,0.5,4.0,-1.0,0.6725
0.100_poly_0.5_-1.0_4_desc,0.761,0.02,0.503,0.028,0.842,0.017,0.598,0.029,poly,desc,0.1,0.5,4.0,-1.0,0.6725
1.000_poly_scale_0.0_4_desc,0.766,0.026,0.509,0.041,0.832,0.031,0.595,0.037,poly,desc,1.0,scale,4.0,0.0,0.6705
1.000_poly_scale_0.3_2_desc,0.802,0.036,0.448,0.076,0.893,0.011,0.426,0.034,poly,desc,1.0,scale,2.0,0.3,0.6705
5.000_poly_scale_0.0_4_desc,0.758,0.032,0.518,0.042,0.823,0.036,0.594,0.047,poly,desc,5.0,scale,4.0,0.0,0.6705
10.000_poly_scale_0.0_4_desc,0.756,0.025,0.518,0.038,0.823,0.037,0.593,0.033,poly,desc,10.0,scale,4.0,0.0,0.6705
1.000_poly_scale_1.0_2_desc,0.799,0.035,0.446,0.078,0.894,0.01,0.418,0.028,poly,desc,1.0,scale,2.0,1.0,0.67
1.000_poly_scale_3.0_2_desc,0.8,0.036,0.444,0.075,0.893,0.01,0.421,0.03,poly,desc,1.0,scale,2.0,3.0,0.6685
0.010_poly_auto_0.3_4_desc,0.803,0.021,0.424,0.042,0.912,0.011,0.447,0.037,poly,desc,0.01,auto,4.0,0.3,0.668
1.000_poly_scale_10.0_2_desc,0.804,0.035,0.445,0.072,0.891,0.011,0.422,0.034,poly,desc,1.0,scale,2.0,10.0,0.668
0.001_poly_scale_10.0_3_desc,0.877,0.021,0.401,0.052,0.922,0.01,0.251,0.012,poly,desc,0.001,scale,3.0,10.0,0.6615
0.100_poly_scale_0.0_2_desc,0.856,0.014,0.4,0.039,0.92,0.011,0.366,0.01,poly,desc,0.1,scale,2.0,0.0,0.66
0.001_poly_auto_10.0_3_desc,0.876,0.023,0.395,0.053,0.922,0.01,0.245,0.012,poly,desc,0.001,auto,3.0,10.0,0.6585000000000001
0.010_poly_scale_0.3_3_desc,0.835,0.019,0.398,0.045,0.919,0.008,0.359,0.012,poly,desc,0.01,scale,3.0,0.3,0.6585000000000001
0.100_poly_auto_0.0_2_desc,0.857,0.014,0.395,0.038,0.92,0.011,0.363,0.011,poly,desc,0.1,auto,2.0,0.0,0.6575
1.000_poly_scale_0.0_2_desc,0.799,0.024,0.442,0.065,0.873,0.015,0.425,0.033,poly,desc,1.0,scale,2.0,0.0,0.6575
0.010_poly_auto_0.3_3_desc,0.837,0.017,0.389,0.043,0.919,0.008,0.358,0.011,poly,desc,0.01,auto,3.0,0.3,0.654
0.001_poly_scale_1.0_4_desc,0.832,0.015,0.372,0.045,0.915,0.008,0.314,0.011,poly,desc,0.001,scale,4.0,1.0,0.6435
0.001_poly_scale_3.0_3_desc,0.855,0.023,0.36,0.054,0.922,0.008,0.213,0.009,poly,desc,0.001,scale,3.0,3.0,0.641
0.001_poly_auto_1.0_4_desc,0.833,0.012,0.365,0.044,0.914,0.007,0.308,0.01,poly,desc,0.001,auto,4.0,1.0,0.6395
0.001_poly_auto_3.0_3_desc,0.854,0.021,0.353,0.052,0.921,0.008,0.209,0.008,poly,desc,0.001,auto,3.0,3.0,0.637
0.010_poly_scale_1.0_2_desc,0.857,0.016,0.346,0.047,0.923,0.009,0.213,0.005,poly,desc,0.01,scale,2.0,1.0,0.6345000000000001
0.010_poly_auto_1.0_2_desc,0.857,0.016,0.34,0.044,0.922,0.009,0.21,0.005,poly,desc,0.01,auto,2.0,1.0,0.631
0.010_poly_scale_3.0_2_desc,0.864,0.021,0.339,0.052,0.921,0.009,0.197,0.008,poly,desc,0.01,scale,2.0,3.0,0.63
0.010_poly_auto_3.0_2_desc,0.863,0.021,0.333,0.051,0.921,0.009,0.194,0.007,poly,desc,0.01,auto,2.0,3.0,0.627
0.010_poly_scale_0.0_4_desc,0.716,0.005,0.356,0.025,0.889,0.018,0.44,0.01,poly,desc,0.01,scale,4.0,0.0,0.6225
0.010_poly_scale_0.3_2_desc,0.848,0.012,0.324,0.039,0.921,0.008,0.237,0.005,poly,desc,0.01,scale,2.0,0.3,0.6225
0.010_poly_scale_10.0_2_desc,0.867,0.024,0.324,0.049,0.919,0.009,0.193,0.009,poly,desc,0.01,scale,2.0,10.0,0.6215
0.010_poly_auto_0.3_2_desc,0.847,0.015,0.319,0.038,0.92,0.008,0.234,0.006,poly,desc,0.01,auto,2.0,0.3,0.6195
0.010_poly_auto_10.0_2_desc,0.868,0.023,0.318,0.049,0.919,0.009,0.191,0.008,poly,desc,0.01,auto,2.0,10.0,0.6185
0.010_poly_auto_0.0_4_desc,0.713,0.007,0.347,0.026,0.888,0.017,0.438,0.007,poly,desc,0.01,auto,4.0,0.0,0.6174999999999999
0.010_poly_scale_0.0_3_desc,0.768,0.014,0.32,0.029,0.902,0.01,0.412,0.028,poly,desc,0.01,scale,3.0,0.0,0.611
0.010_poly_auto_0.0_3_desc,0.76,0.015,0.316,0.026,0.9,0.01,0.407,0.025,poly,desc,0.01,auto,3.0,0.0,0.608
0.001_poly_scale_1.0_3_desc,0.827,0.02,0.292,0.037,0.909,0.008,0.226,0.01,poly,desc,0.001,scale,3.0,1.0,0.6005
0.001_poly_auto_1.0_3_desc,0.826,0.02,0.286,0.036,0.908,0.008,0.221,0.01,poly,desc,0.001,auto,3.0,1.0,0.597
0.010_poly_scale_0.0_2_desc,0.809,0.014,0.287,0.022,0.905,0.008,0.309,0.013,poly,desc,0.01,scale,2.0,0.0,0.596
0.010_poly_auto_0.0_2_desc,0.805,0.014,0.283,0.022,0.904,0.008,0.305,0.012,poly,desc,0.01,auto,2.0,0.0,0.5935
0.001_poly_scale_0.3_4_desc,0.697,0.01,0.288,0.022,0.885,0.011,0.361,0.017,poly,desc,0.001,scale,4.0,0.3,0.5865
0.001_poly_auto_0.3_4_desc,0.694,0.01,0.28,0.022,0.884,0.009,0.357,0.015,poly,desc,0.001,auto,4.0,0.3,0.5820000000000001
0.100_poly_0.5_-1.0_1_desc,0.852,0.013,0.247,0.031,0.909,0.01,0.156,0.004,poly,desc,0.1,0.5,1.0,-1.0,0.5780000000000001
0.100_poly_0.5_0.0_1_desc,0.852,0.013,0.247,0.031,0.909,0.01,0.156,0.004,poly,desc,0.1,0.5,1.0,0.0,0.5780000000000001
0.100_poly_0.5_0.3_1_desc,0.852,0.013,0.247,0.031,0.909,0.01,0.156,0.004,poly,desc,0.1,0.5,1.0,0.3,0.5780000000000001
0.100_poly_0.5_1.0_1_desc,0.853,0.013,0.247,0.031,0.909,0.01,0.156,0.005,poly,desc,0.1,0.5,1.0,1.0,0.5780000000000001
0.100_poly_0.5_3.0_1_desc,0.852,0.013,0.247,0.031,0.909,0.01,0.156,0.004,poly,desc,0.1,0.5,1.0,3.0,0.5780000000000001
0.100_poly_0.5_10.0_1_desc,0.853,0.013,0.247,0.031,0.909,0.01,0.156,0.005,poly,desc,0.1,0.5,1.0,10.0,0.5780000000000001
0.001_poly_scale_10.0_2_desc,0.847,0.015,0.239,0.031,0.911,0.011,0.147,0.006,poly,desc,0.001,scale,2.0,10.0,0.575
0.001_poly_auto_10.0_2_desc,0.845,0.015,0.238,0.031,0.91,0.011,0.146,0.006,poly,desc,0.001,auto,2.0,10.0,0.5740000000000001
0.100_poly_0.1_-1.0_1_desc,0.846,0.02,0.237,0.027,0.909,0.01,0.151,0.008,poly,desc,0.1,0.1,1.0,-1.0,0.573
0.100_poly_0.1_0.0_1_desc,0.846,0.02,0.237,0.027,0.909,0.01,0.151,0.008,poly,desc,0.1,0.1,1.0,0.0,0.573
0.100_poly_0.1_0.3_1_desc,0.846,0.02,0.237,0.027,0.909,0.01,0.151,0.008,poly,desc,0.1,0.1,1.0,0.3,0.573
0.100_poly_0.1_1.0_1_desc,0.846,0.02,0.237,0.027,0.909,0.01,0.151,0.008,poly,desc,0.1,0.1,1.0,1.0,0.573
0.100_poly_0.1_3.0_1_desc,0.846,0.02,0.237,0.027,0.909,0.01,0.151,0.008,poly,desc,0.1,0.1,1.0,3.0,0.573
0.100_poly_0.1_10.0_1_desc,0.846,0.02,0.237,0.027,0.909,0.01,0.151,0.008,poly,desc,0.1,0.1,1.0,10.0,0.573
0.001_poly_scale_3.0_2_desc,0.836,0.015,0.233,0.031,0.903,0.013,0.148,0.007,poly,desc,0.001,scale,2.0,3.0,0.5680000000000001
0.010_poly_0.5_-1.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,0.01,0.5,1.0,-1.0,0.5680000000000001
0.010_poly_0.5_0.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,0.01,0.5,1.0,0.0,0.5680000000000001
0.010_poly_0.5_0.3_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,0.01,0.5,1.0,0.3,0.5680000000000001
0.010_poly_0.5_1.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,0.01,0.5,1.0,1.0,0.5680000000000001
0.010_poly_0.5_3.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,0.01,0.5,1.0,3.0,0.5680000000000001
0.010_poly_0.5_10.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,0.01,0.5,1.0,10.0,0.5680000000000001
1.000_poly_scale_-1.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,1.0,scale,1.0,-1.0,0.5680000000000001
1.000_poly_scale_0.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,1.0,scale,1.0,0.0,0.5680000000000001
1.000_poly_scale_0.3_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,1.0,scale,1.0,0.3,0.5680000000000001
1.000_poly_scale_1.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,1.0,scale,1.0,1.0,0.5680000000000001
1.000_poly_scale_3.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,1.0,scale,1.0,3.0,0.5680000000000001
1.000_poly_scale_10.0_1_desc,0.847,0.014,0.227,0.027,0.909,0.01,0.149,0.006,poly,desc,1.0,scale,1.0,10.0,0.5680000000000001
1.000_poly_auto_-1.0_1_desc,0.847,0.014,0.227,0.028,0.909,0.01,0.149,0.006,poly,desc,1.0,auto,1.0,-1.0,0.5680000000000001
1.000_poly_auto_0.0_1_desc,0.847,0.014,0.227,0.028,0.909,0.01,0.149,0.006,poly,desc,1.0,auto,1.0,0.0,0.5680000000000001
1.000_poly_auto_0.3_1_desc,0.847,0.014,0.227,0.028,0.909,0.01,0.149,0.006,poly,desc,1.0,auto,1.0,0.3,0.5680000000000001
0.001_poly_auto_3.0_2_desc,0.835,0.016,0.23,0.031,0.902,0.013,0.147,0.008,poly,desc,0.001,auto,2.0,3.0,0.5660000000000001
0.001_poly_0.5_-1.0_1_desc,0.851,0.022,0.22,0.034,0.909,0.009,0.144,0.004,poly,desc,0.001,0.5,1.0,-1.0,0.5645
0.001_poly_0.5_0.0_1_desc,0.851,0.022,0.22,0.034,0.909,0.009,0.144,0.004,poly,desc,0.001,0.5,1.0,0.0,0.5645
0.001_poly_0.5_0.3_1_desc,0.851,0.022,0.22,0.034,0.909,0.009,0.144,0.004,poly,desc,0.001,0.5,1.0,0.3,0.5645
0.001_poly_0.5_1.0_1_desc,0.851,0.022,0.22,0.034,0.909,0.009,0.144,0.004,poly,desc,0.001,0.5,1.0,1.0,0.5645
0.001_poly_0.5_3.0_1_desc,0.85,0.023,0.22,0.034,0.909,0.009,0.144,0.005,poly,desc,0.001,0.5,1.0,3.0,0.5645
0.001_poly_0.5_10.0_1_desc,0.851,0.022,0.22,0.034,0.909,0.009,0.144,0.004,poly,desc,0.001,0.5,1.0,10.0,0.5645
0.010_poly_0.1_-1.0_1_desc,0.852,0.018,0.219,0.035,0.909,0.009,0.146,0.004,poly,desc,0.01,0.1,1.0,-1.0,0.5640000000000001
0.010_poly_0.1_0.0_1_desc,0.852,0.018,0.219,0.035,0.909,0.009,0.146,0.004,poly,desc,0.01,0.1,1.0,0.0,0.5640000000000001
0.010_poly_0.1_0.3_1_desc,0.852,0.018,0.219,0.035,0.909,0.009,0.146,0.004,poly,desc,0.01,0.1,1.0,0.3,0.5640000000000001
0.010_poly_0.1_1.0_1_desc,0.852,0.018,0.219,0.035,0.909,0.009,0.146,0.004,poly,desc,0.01,0.1,1.0,1.0,0.5640000000000001
0.010_poly_0.1_3.0_1_desc,0.852,0.018,0.219,0.035,0.909,0.009,0.146,0.004,poly,desc,0.01,0.1,1.0,3.0,0.5640000000000001
0.010_poly_0.1_10.0_1_desc,0.852,0.018,0.219,0.035,0.909,0.009,0.146,0.004,poly,desc,0.01,0.1,1.0,10.0,0.5640000000000001
0.100_poly_scale_-1.0_1_desc,0.851,0.022,0.219,0.034,0.909,0.009,0.144,0.004,poly,desc,0.1,scale,1.0,-1.0,0.5640000000000001
0.100_poly_scale_0.0_1_desc,0.851,0.022,0.219,0.034,0.909,0.009,0.144,0.004,poly,desc,0.1,scale,1.0,0.0,0.5640000000000001
0.100_poly_scale_0.3_1_desc,0.851,0.022,0.219,0.034,0.909,0.009,0.144,0.004,poly,desc,0.1,scale,1.0,0.3,0.5640000000000001
